date_key,full_date,year,month_number,month_name,year_month,week_number,day_of_month,day_of_week
20160807,2016-08-07,2016,8,August,2016-08,31,7,Sunday
20160808,2016-08-08,2016,8,August,2016-08,32,8,Monday
20160809,2016-08-09,2016,8,August,2016-08,32,9,Tuesday
20160810,2016-08-10,2016,8,August,2016-08,32,10,Wednesday
20160811,2016-08-11,2016,8,August,2016-08,32,11,Thursday
20160812,2016-08-12,2016,8,August,2016-08,32,12,Friday
20160813,2016-08-13,2016,8,August,2016-08,32,13,Saturday
20160814,2016-08-14,2016,8,August,2016-08,32,14,Sunday
20160815,2016-08-15,2016,8,August,2016-08,33,15,Monday
20160816,2016-08-16,2016,8,August,2016-08,33,16,Tuesday
20160817,2016-08-17,2016,8,August,2016-08,33,17,Wednesday
20160818,2016-08-18,2016,8,August,2016-08,33,18,Thursday
20160819,2016-08-19,2016,8,August,2016-08,33,19,Friday
20160820,2016-08-20,2016,8,August,2016-08,33,20,Saturday
20160821,2016-08-21,2016,8,August,2016-08,33,21,Sunday
20160822,2016-08-22,2016,8,August,2016-08,34,22,Monday
20160823,2016-08-23,2016,8,August,2016-08,34,23,Tuesday
20160824,2016-08-24,2016,8,August,2016-08,34,24,Wednesday
20160825,2016-08-25,2016,8,August,2016-08,34,25,Thursday
20160826,2016-08-26,2016,8,August,2016-08,34,26,Friday
20160827,2016-08-27,2016,8,August,2016-08,34,27,Saturday
20160828,2016-08-28,2016,8,August,2016-08,34,28,Sunday
20160829,2016-08-29,2016,8,August,2016-08,35,29,Monday
20160830,2016-08-30,2016,8,August,2016-08,35,30,Tuesday
20160831,2016-08-31,2016,8,August,2016-08,35,31,Wednesday
20160901,2016-09-01,2016,9,September,2016-09,35,1,Thursday
20160902,2016-09-02,2016,9,September,2016-09,35,2,Friday
